number,name,date,event,location,reign,days,days recognised,notes
1,Buddy Rogers,"April 11, 1963",House show,"Washington, D.C.",1,36,22,"Won a fictional tournament in Rio de Janeiro after the WWWF left the National Wrestling Alliance (NWA), of which Rogers had been the 7th NWA World Heavyweight Champion since defeating Pat O'Connor on June 30, 1961. After Rogers' one fall loss to Lou Thesz for the title on January 24, 1963, Northeast promoters (led by Vince McMahon Sr. and Toots Mondt) did not recognize this title change and withdrew their membership from the NWA to form the World Wide Wrestling Federation (WWWF). The WWWF billed Rogers as their world champion since January 25, 1963, but it did not recognize him as the first ever WWWF World Heavyweight Champion until April 11, 1963, when he received the title belt. However, WWE lists Rogers' reign and the establishment of the title beginning on April 25, 1963."
2,Bruno Sammartino,"May 17, 1963",House show,"New York, NY",1,"2,803","2,803",
3,Ivan Koloff,"January 18, 1971",House show,"New York, NY",1,21,21,
4,Pedro Morales,"February 8, 1971",House show,"New York, NY",1,"1,027","1,027",The title was renamed the WWWF Heavyweight Championship when the WWWF rejoined the NWA in 1971.
5,Stan Stasiak,"December 1, 1973",House show,"Philadelphia, PA",1,9,9,
6,Bruno Sammartino,"December 10, 1973",House show,"New York, NY",2,"1,237","1,237",
7,Superstar Billy Graham,"April 30, 1977",House show,"Baltimore, MD",1,296,296,
8,Bob Backlund,"February 20, 1978",WWF on MSG Network,"New York, NY",1,648,"2,135",The title was renamed the WWF Heavyweight Championship when the WWWF became the World Wrestling Federation (WWF) in March 1979 for marketing purposes.
†,Antonio Inoki,"November 30, 1979",Toukon Series,"Tokushima, Japan",—,6,—,
—,Vacated,"December 6, 1979",—,"Tokyo, Japan",—,—,—,Inoki immediately vacated the title after a title defense rematch with Bob Backlund ended in a no contest due to the interference of New Japan Pro-Wrestling's Tiger Jeet Singh.
†,Bob Backlund,"December 17, 1979",WWF on MSG Network,"New York, NY",1,"1,470",—,"Defeated Bobby Duncum in a Texas death match to fill the vacancy. On October 19, 1981, following a controversial match with Greg Valentine in Madison Square Garden, the title was vacated (recognized only in New York City) by the NY State Athletic Commission. Backlund defeated Valentine in a rematch in MSG on November 23, 1981 to end the vacancy. WWE recognizes this whole period as one uninterrupted reign."
9,The Iron Sheik,"December 26, 1983",WWF on MSG Network,"New York, NY",1,28,28,The Iron Sheik won by submission when Bob Backlund's manager Arnold Skaaland threw in the towel when Backlund was put into Sheik's camel clutch to prevent any major injury. The title was renamed the WWF World Heavyweight Championship when the WWF ended its affiliation with the NWA.
10,Hulk Hogan,"January 23, 1984",WWF on MSG Network,"New York, NY",1,"1,474","1,474",
11,André the Giant,"February 5, 1988",The Main Event I,"Indianapolis, IN",1,<1,<1,"Defeated Hulk Hogan when referee Earl Hebner, who was bribed by Ted DiBiase, scored the three-count despite Hogan raising his shoulder at the one-count."
†,Ted DiBiase,"February 5, 1988",The Main Event I,"Indianapolis, IN",1,8,—,"Immediately after winning the title from Hulk Hogan, André the Giant handed the championship belt to Ted DiBiase, but WWF President Jack Tunney ruled this as vacating the title and therefore DiBiase's reign is not recognized by WWE, albeit he was announced as such in the following days and even defended the title once against Bam Bam Bigelow in a February 8, 1988 live event."
—,Vacated,"February 13, 1988",Superstars of Wrestling,"Hershey, PA",—,—,—,"WWF President Jack Tunney refused to recognize Ted DiBiase as champion and vacated the title. WWE recognizes the vacancy as starting on February 5, 1988, the date of the controversy, rather than the date in which the announcement was made in a video aired on tape delay on February 13, 1988."
12,Randy Savage,"March 27, 1988",WrestleMania IV,"Atlantic City, NJ",1,371,371,Defeated Ted DiBiase in a tournament final to win the vacant title.
13,Hulk Hogan,"April 2, 1989",WrestleMania V,"Atlantic City, NJ",2,364,364,The title was renamed the WWF Championship in July 1989.
14,The Ultimate Warrior,"April 1, 1990",WrestleMania VI,"Toronto, ON, Canada",1,293,293,This was a title vs. title match in which Warrior also defended the Intercontinental Championship.
15,Sgt. Slaughter,"January 19, 1991",Royal Rumble,"Miami, FL",1,64,64,
16,Hulk Hogan,"March 24, 1991",WrestleMania VII,"Los Angeles, CA",3,248,248,
17,The Undertaker,"November 27, 1991",Survivor Series,"Detroit, MI",1,6,6,
18,Hulk Hogan,"December 3, 1991",This Tuesday in Texas,"San Antonio, TX",4,1,4,
—,Vacated,"December 4, 1991",Superstars of Wrestling,"New Haven, CT",—,—,—,"Hogan was stripped of the title by WWF President Jack Tunney due to the controversy surrounding both of the previous title changes. Aired on tape delay on December 7, 1991."
19,Ric Flair,"January 19, 1992",Royal Rumble,"Albany, NY",1,77,77,This was the Royal Rumble match in which Flair last eliminated Sid Justice to win the vacant title.
20,Randy Savage,"April 5, 1992",WrestleMania VIII,"Indianapolis, IN",2,149,149,
21,Ric Flair,"September 1, 1992",Prime Time Wrestling,"Hershey, PA",2,41,41,"Aired on tape delay on September 14, 1992. [48][49]"
22,Bret Hart,"October 12, 1992",House show,"Saskatoon, SK, Canada",1,174,174,
23,Yokozuna,"April 4, 1993",WrestleMania IX,"Las Vegas, NV",1,<1,<1,
24,Hulk Hogan,"April 4, 1993",WrestleMania IX,"Las Vegas, NV",5,70,70,"After Yokozuna pinned Bret Hart to win the title, Yokozuna's manager, Mr. Fuji, issued an immediate challenge to Hogan for the championship, which was accepted and Hogan won the impromptu match."
25,Yokozuna,"June 13, 1993",King of the Ring,"Dayton, OH",2,280,280,
26,Bret Hart,"March 20, 1994",WrestleMania X,"New York, NY",2,248,248,Roddy Piper was the guest referee.
27,Bob Backlund,"November 23, 1994",Survivor Series,"San Antonio, TX",2,3,3,This was a Throw in the Towel submission match.
28,Diesel,"November 26, 1994",House show,"New York, NY",1,358,358,
29,Bret Hart,"November 19, 1995",Survivor Series,"Landover, MD",3,133,133,This was a no disqualification match.
30,Shawn Michaels,"March 31, 1996",WrestleMania XII,"Anaheim, CA",1,231,231,This was a 60-minute Iron Man match in which Michaels won 1–0 in overtime.
31,Sycho Sid,"November 17, 1996",Survivor Series,"New York, NY",1,63,63,
32,Shawn Michaels,"January 19, 1997",Royal Rumble,"San Antonio, TX",2,25,25,
